Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id,Entry_Time,Exit_Time,Duration,Hour,Weekday,Win,Loss
0,0,0.3078886129551167,24263,1623.314598,0.19992003198717612,24264,1624.684998,0.20008880420928263,0.021921718997223977,4.3860975369645724e-05,Long,Closed,0,1970-01-01 00:00:00.000024263,1970-01-01 00:00:00.000024264,0 days 00:00:00.000000001,0,Thursday,True,False
1,0,0.12498706877665298,38360,3998.989638,0.19992879716869538,38362,4037.982242,0.201878225679903,4.4717642550802195,0.008946713666878593,Long,Closed,1,1970-01-01 00:00:00.000038360,1970-01-01 00:00:00.000038362,0 days 00:00:00.000000002,0,Thursday,True,False
2,0,0.2015136293715522,47148,2502.520404,0.2017167876745134,47152,2493.711158,0.20100671442116652,-2.177906635582415,-0.004318741460618796,Long,Closed,2,1970-01-01 00:00:00.000047148,1970-01-01 00:00:00.000047152,0 days 00:00:00.000000004,0,Thursday,False,True
3,0,0.2642362671537528,50059,1900.249874,0.20084597334605966,50068,1914.83,0.2023870125736082,-4.255831054790984,-0.008475810560479883,Short,Closed,3,1970-01-01 00:00:00.000050059,1970-01-01 00:00:00.000050068,0 days 00:00:00.000000009,0,Thursday,False,True
4,0,0.2710003298202046,51067,1837.122502,0.1991443215848478,51073,1821.304188,0.19742961426036798,3.8901943753543073,0.007813819333426173,Short,Closed,4,1970-01-01 00:00:00.000051067,1970-01-01 00:00:00.000051073,0 days 00:00:00.000000006,0,Thursday,True,False
5,0,0.1587507240739795,63835,3160.611996,0.20069977715274945,63850,3166.5465639999998,0.20107662393958875,0.5403405659738885,0.0010769131359076882,Long,Closed,5,1970-01-01 00:00:00.000063835,1970-01-01 00:00:00.000063850,0 days 00:00:00.000000015,0,Thursday,True,False
6,0,0.153347684031024,66709,3275.494968,0.20091582695920351,66714,3269.136042,0.20052577632921936,-1.3765681783130832,-0.002740586840064965,Long,Closed,6,1970-01-01 00:00:00.000066709,1970-01-01 00:00:00.000066714,0 days 00:00:00.000000005,0,Thursday,False,True
7,0,0.15299252682933254,68670,3274.1046899999997,0.2003654198506979,68671,3281.2136259999997,0.2008004654834306,0.6864481963739397,0.0013703925495432824,Long,Closed,7,1970-01-01 00:00:00.000068670,1970-01-01 00:00:00.000068671,0 days 00:00:00.000000001,0,Thursday,True,False
8,0,0.1268010506848422,70549,3955.801002,0.20063988934145982,70561,3950.479746,0.20036999300079544,-1.0757507341053454,-0.002144639807439996,Long,Closed,8,1970-01-01 00:00:00.000070549,1970-01-01 00:00:00.000070561,0 days 00:00:00.000000012,0,Thursday,False,True
9,0,0.1426864807662929,81951,3507.8614319999997,0.20020976109913136,81953,3515.8466900000003,0.20066551644396785,0.7385130844879142,0.001475478678828571,Long,Closed,9,1970-01-01 00:00:00.000081951,1970-01-01 00:00:00.000081953,0 days 00:00:00.000000002,0,Thursday,True,False
10,0,0.12314389113470527,92647,4070.543946,0.20050504821807635,92648,4080.7336900000005,0.20100697010843369,0.8532927075000923,0.0017022867306002343,Long,Closed,10,1970-01-01 00:00:00.000092647,1970-01-01 00:00:00.000092648,0 days 00:00:00.000000001,0,Thursday,True,False
11,0,0.12108830713973441,92695,4146.689171999999,0.20084622882882286,92697,4159.727888,0.2014777632479451,1.1765120556390996,0.002343110074805749,Long,Closed,11,1970-01-01 00:00:00.000092695,1970-01-01 00:00:00.000092697,0 days 00:00:00.000000002,0,Thursday,True,False
12,0,0.1253018617610873,101863,4016.6331659999996,0.2013166454844395,101877,4012.2073980000005,0.20109482269640314,-0.9569684383033616,-0.0019014194002696498,Long,Closed,12,1970-01-01 00:00:00.000101863,1970-01-01 00:00:00.000101877,0 days 00:00:00.000000014,0,Thursday,False,True
