short_window,long_window,short_type,long_type,tp_multiplier,sl_multiplier,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,long_trades,short_trades,long_winrate,short_winrate,total_pnl,profit_factor,expectancy,calmar_ratio,strategy_name,strategy_id
21,200,SMA,SMA,3.0,3.0,35.44029980436551,0.7058365772162852,49.46236559139785,30.917949004263214,930,395,535,48.35,50.28,177.2,1.0591111543135638,0.19053924626003038,0.5426498378928796,SMA21/SMA200,2
21,200,SMA,SMA,2.5,3.0,22.041324656142706,0.5283935567783227,53.5483870967742,31.391710633830485,930,395,535,52.91,54.02,110.2,1.0432831934173834,0.11850174546312964,0.34151483094320784,SMA21/SMA200,5
21,200,SMA,SMA,3.0,2.5,21.76360776384149,0.5156764962472417,46.616541353383454,27.774331877462288,931,398,533,45.73,47.28,108.82000000000001,1.0412630462367936,0.11688296328593717,0.38135368970615985,SMA21/SMA200,7
21,200,SMA,SMA,3.0,2.0,15.067058889006601,0.4138571078858986,42.564655172413794,28.80368308004058,928,393,535,42.49,42.62,75.33,1.0329216396157628,0.08118027418645646,0.25827304020602604,SMA21/SMA200,4
21,200,SMA,SMA,2.5,2.5,4.244657071671633,0.20891746158222427,50.26852846401718,32.832165442250826,931,398,533,50.25,50.28,21.220000000000002,1.0095702266925601,0.022796224874711335,0.06542808838544976,SMA21/SMA200,13
21,200,SMA,SMA,2.5,2.0,-2.359189102656046,0.061770837377033996,46.12068965517241,35.47995855005534,928,393,535,47.07,45.42,-11.790000000000006,0.993944084864995,-0.012711148182416032,-0.034194923050541594,SMA21/SMA200,12
20,200,SMA,SMA,2.5,2.0,-3.895741116356146,0.030588655231797827,46.87830687830688,37.75303073894703,945,405,540,47.9,46.11,-19.480000000000004,0.9900108900516276,-0.020612386859026888,-0.05327090908974842,SMA20/SMA200,20
12,200,EMA,EMA,2.5,3.0,-12.08820906873683,-0.09960078647647437,45.803183791606365,44.45877871570041,1382,622,760,45.18,46.32,-60.44,0.9754894506551712,-0.04373447564665911,-0.14338749210110374,EMA12/EMA200,8
12,200,EMA,EMA,2.5,2.5,-14.962490526308228,-0.16996994514264865,45.00734214390602,45.897817486260266,1362,612,750,44.28,45.6,-74.81,0.9684569585484297,-0.05492837931831507,-0.17326755588942838,EMA12/EMA200,9
9,200,EMA,EMA,3.0,2.5,-18.42310974520881,-0.21665034657339308,38.91493636972538,42.93293160334505,1493,683,810,40.12,37.9,-92.12,0.966135132979486,-0.061698291176186304,-0.23029471920542624,EMA9/EMA200,6
9,200,SMA,EMA,3.0,3.0,-19.095356303399797,-0.21674931144036882,40.4777704047777,54.48927689616803,1507,675,832,42.37,38.94,-95.47999999999999,0.9609763127851444,-0.06335552854478976,-0.1884345587554503,SMA9/EMA200,1
12,200,EMA,EMA,2.5,2.0,-20.080500566816887,-0.3005957377217451,43.27272727272727,46.85124095670712,1375,618,757,43.2,43.33,-100.39999999999999,0.956250963293159,-0.07302000206114934,-0.23111392564727498,EMA12/EMA200,19
9,200,SMA,EMA,3.0,2.0,-20.97362912374601,-0.2773278818563466,38.881578947368425,47.81434056192005,1520,678,842,40.56,37.53,-104.85999999999999,0.958179193402074,-0.06899220106495485,-0.23714381626676484,SMA9/EMA200,14
9,200,EMA,EMA,2.5,2.5,-22.283143698144784,-0.3400272731127856,42.876165113182424,44.282329305761564,1502,689,813,42.96,42.8,-111.42,0.9551874203270977,-0.074178241338696,-0.2730907240095021,EMA9/EMA200,11
9,200,EMA,EMA,3.0,3.0,-24.122004854930527,-0.33362956363038554,39.2578125,45.65407857805088,1536,705,831,39.86,38.75,-120.61,0.9554510512433771,-0.0785221512204759,-0.288314971737558,EMA9/EMA200,10
9,200,SMA,EMA,2.5,1.5,-25.51689338141385,-0.458718564834137,39.83105912930474,50.35430635492207,1539,684,855,42.11,38.01,-127.58000000000001,0.9397153915991303,-0.08290088817873298,-0.2776849685204003,SMA9/EMA200,15
9,200,SMA,EMA,3.0,2.5,-29.182818078506013,-0.4496647387337671,39.682539682539684,55.99760870753061,1512,676,836,41.57,38.16,-145.92000000000002,0.9388754178400948,-0.09650402803738944,-0.288831512544793,SMA9/EMA200,17
20,200,EMA,EMA,3.0,2.5,-29.325058909433437,-0.4934494184301201,43.26047358834244,56.01908955532399,1098,465,633,44.73,42.18,-146.63,0.9320885444371207,-0.1335385196240133,-0.29025819854352036,EMA20/EMA200,18
9,200,SMA,EMA,2.5,3.0,-32.46496384608546,-0.5777870532933871,43.89920424403183,56.20043647391626,1508,676,832,45.86,42.31,-162.32,0.92298743062336,-0.10764245307057374,-0.3235428110719988,SMA9/EMA200,3
9,200,SMA,EMA,2.5,2.5,-38.277940942426866,-0.7467484334267791,43.25396825396825,57.96734747320734,1512,676,836,45.12,41.75,-191.39000000000001,0.9079955547980306,-0.12658049253447912,-0.3771595116286177,SMA9/EMA200,16
