body_threshold,total_return,total_trades,win_rate,sharpe_ratio,max_dd
0.000020,0,0,0,0,0
0.000035,0,0,0,0,0
0.000049,0,0,0,0,0
0.000064,0,0,0,0,0
0.000079,0,0,0,0,0
0.000094,0,0,0,0,0
0.000108,0,0,0,0,0
0.000123,0,0,0,0,0
0.000138,0,0,0,0,0
0.000153,0,0,0,0,0
0.000167,0,0,0,0,0
0.000182,0,0,0,0,0
0.000197,0,0,0,0,0
0.000212,0,0,0,0,0
0.000226,0,0,0,0,0
0.000241,0,0,0,0,0
0.000256,0,0,0,0,0
0.000271,0,0,0,0,0
0.000285,0,0,0,0,0
0.000300,0,0,0,0,0
0.000020,-8.1326,951,13.56,-39.8742,8.1326
0.000035,-8.8600,1044,13.22,-43.0310,8.8600
0.000049,-9.7108,1145,11.97,-46.5778,9.7108
0.000064,-10.6356,1255,11.00,-50.9360,10.6356
0.000079,-11.7232,1387,10.17,-55.3448,11.7232
0.000094,-12.9579,1517,9.43,-60.5768,12.9579
0.000108,-14.2232,1679,8.46,-65.5245,14.2246
0.000123,-15.6050,1826,7.61,-70.9097,15.6065
0.000138,-16.8692,1969,6.86,-75.9109,16.8707
0.000153,-17.9506,2099,6.29,-80.0117,17.9521
0.000167,-19.3634,2252,5.82,-84.9834,19.3649
0.000182,-20.5730,2384,5.62,-88.7303,20.5745
0.000197,-21.8498,2557,5.48,-93.9964,21.8513
0.000212,-23.1406,2706,5.40,-97.6767,23.1421
0.000226,-24.3786,2871,5.29,-101.9149,24.3801
0.000241,-25.5904,3011,5.15,-105.8258,25.5921
0.000256,-26.6683,3135,4.91,-109.5377,26.6700
0.000271,-27.3402,3218,4.88,-112.2711,27.3419
0.000285,-28.3901,3333,4.95,-115.6290,28.3915
0.000300,-29.1565,3433,4.86,-118.1462,29.1580
